gse	year	oa	doi	src	taxon	title
GSE72599	2016	Y	10.1038/nsmb.3176	geo	Mus musculus	7SK-BAF axis controls pervasive transcription at enhancers [icShape]
GSE69143	2016	Y	10.1038/nsmb.3176	geo	Mus musculus; Homo sapiens	7SK-BAF axis controls pervasive transcription at enhancers
GSE078521	2016	Y	10.7554/elife.15271	lit		The leak channel NALCN controls tonic firing and glycolytic sensitivity of substantia nigra pars reticulata neurons.
GSE069208	2016	Y	10.1101/gad.272187.115	lit		Rapid evolutionary turnover underlies conserved lncRNA-genome interactions.
GSE67667	2015	Y	10.1371/journal.pgen.1005668	geo	Mus musculus	Probing Xist RNA structure in cells using Targeted Structure-Seq
GSE63817	2015	Y	10.1371/journal.pgen.1005613	geo	Escherichia coli	Secondary structure across the bacterial transcriptome reveals versatile roles in mRNA regulation and function
GSE067667	2015	Y	10.1371/journal.pgen.1005668	lit		Probing Xist RNA Structure in Cells Using Targeted Structure-Seq.
GSE063817	2015	Y	10.1371/journal.pgen.1005613	lit		Secondary Structure across the Bacterial Transcriptome Reveals Versatile Roles in mRNA Regulation and Function.
GSE060436	2015	N	10.1167/iovs.14-15589	lit		Microarray analysis of gene expression in fibrovascular membranes excised from patients with proliferative diabetic retinopathy.
GSE50676	2014	Y	10.1038/nature12946	geo	Homo sapiens	Landscape and variation of RNA secondary structure across the human transcriptome
GSE053296	2014	Y	10.1093/nar/gku424	lit		Importance of the RNA secondary structure for the relative accumulation of clustered viral microRNAs.
GSE052878	2014	Y	10.1093/nar/gku815	lit		Snapshots of pre-rRNA structural flexibility reveal eukaryotic 40S assembly dynamics at nucleotide resolution.
GSE063789	2014	Y	10.15252/msb.20145524	lit		Causal signals between codon bias, mRNA structure, and the efficiency of translation and elongation.
GSE061581	2014	Y	10.15252/embj.201488740	lit		TDP-1, the Caenorhabditis elegans ortholog of TDP-43, limits the accumulation of double-stranded RNA.
GSE143121	2012	Y	10.1038/nature11247	geo	Homo sapiens	icSHAPE from HepG2 (ENCSR992XHC)
GSE143120	2012	Y	10.1038/nature11247	geo	Homo sapiens	icSHAPE from K562 (ENCSR976RFC)
GSE143102	2012	Y	10.1038/nature11247	geo	Homo sapiens	icSHAPE from GM12878 (ENCSR836VQU)
GSE143096	2012	Y	10.1038/nature11247	geo	Homo sapiens	icSHAPE from K562 (ENCSR803XFA)
GSE142946	2012	Y	10.1038/nature11247	geo	Homo sapiens	icSHAPE from HepG2 (ENCSR286LXS)
GSE142891	2012	Y	10.1038/nature11247	geo	Homo sapiens	icSHAPE from GM12878 (ENCSR052BBY)
GSE39680	2012	N	10.1016/j.molcel.2012.08.008	geo	Saccharomyces cerevisiae	Genome-wide measurement of RNA folding energies
GSE31573	2011	N	10.1073/pnas.1106501108	geo	Bacillus subtilis	Multiplexed RNA structure characterization with selective 2'-hydroxyl acylation analyzed by primer extension sequencing 
GSE031573	2011	N	10.1073/pnas.1106501108	lit		Multiplexed RNA structure characterization with selective 2'-hydroxyl acylation analyzed by primer extension sequencing (SHAPE-Seq
GSE24622	2010	Y	10.1038/nmeth.1529	geo	Mus musculus	FragSeq: transcriptome-wide RNA structure probing using high-throughput sequencing.
GSE024622	2010	Y	10.1038/nmeth.1529	lit		FragSeq: transcriptome-wide RNA structure probing using high-throughput sequencing.
GSE022393	2010	N	10.1038/nature09322	lit		Genome-wide measurement of RNA secondary structure in yeast.
GSE17135	2009	Y	10.1093/nar/gkp668	geo	Staphylococcus aureus; Staphylococcus aureus subsp. aureus N	A search for small noncoding RNAs in Staphylococcus aureus reveals a conserved sequence motif for regulation.
GSE017135	2009	Y	10.1093/nar/gkp668	lit		A search for small noncoding RNAs in Staphylococcus aureus reveals a conserved sequence motif for regulation.
GSE230167				geo	Homo sapiens	Structural basis for pre-miRNA-31 biogenesis
GSE183045				geo	Saccharomyces cerevisiae	Using DMS-MaPseq to dissect structural differences of ribosomal RNA in different SSU Processome intermediates
GSE327654				geo	Homo sapiens	CONCR lncRNA organizes a 3´-end structural domain that engages DDX11 for DNA replication and sister chromatid cohesion
GSE331520				geo	synthetic construct; Homo sapiens	Conserved structural features of the lncRNA HOTAIR in breast cancer cells
GSE309111				geo	synthetic construct	Direct RNA sequencing and signal alignment reveal RNA structure ensembles in a eukaryotic cell
GSE309440				geo	Homo sapiens	Probing the structure of the lncRNA DAMER and its interaction with ATF4 mRNA using SHAPE-MaP
GSE149534				geo	Homo sapiens	Long noncoding RNA CCTT recruits CENP-C to centromeres by directly binding to centromeric DNA
GSE149529				geo	Homo sapiens	Long noncoding RNA CCTT recruits CENP-C to centromeres by directly binding to centromeric DNA [SHAPE-Map]
GSE130687				geo	Homo sapiens; HIV-1 vector pNL4-3	An epitranscriptomic switch at the 5´-UTR controls genome selection during HIV-1 genomic RNA packaging
GSE81525				geo	Homo sapiens	An RNA structure-mediated post-transcriptional model of α-1-antitrypsin deficiency
GSE288910				geo	Homo sapiens	RNA structure directs RNA partitioning and is actively disrupted inside stress granules to enable cellular recovery
GSE227455				geo	Homo sapiens	RBP Footprint Grand Challenge: An evaluation of novel computational approaches to RNA-binding protein target prediction 
GSE156671				geo	Homo sapiens	Genome-wide structure changes during neuronal differentiation drive gene regulatory networks
GSE291931				geo	Homo sapiens	[DMS-Seq] - The RNA helicase domain of NAT10 promotes the biogenesis of hypomodified ribosomes to enhance cancer cell pr
GSE129163				geo	Escherichia coli; Pseudomonas phage PP7	Synthetic 5’ UTRs can either up- or down-regulate expression upon RBP binding
GSE310313				geo	Mus musculus	The long noncoding RNA Malat1 contains an internal ribosome entry site mediating micropeptide translation
GSE225383			10.1093/nar/gkad522	geo+lit	Homo sapiens; Escherichia coli	Enhanced DMS-MaP enables superior RNA structural analysis
GSE304703				geo	synthetic construct	Direct RNA sequencing and signal alignment reveal RNA structure ensembles in a eukaryotic cell [RNA004]
GSE304702				geo	Candida albicans; synthetic construct	Direct RNA sequencing and signal alignment reveal RNA structure ensembles in a eukaryotic cell [nanopore_DRS]
GSE303560				geo	Candida albicans SC5314	Direct RNA sequencing and signal alignment reveal RNA structure ensembles in a eukaryotic cell
GSE245141				geo	Homo sapiens	Transcriptome-wide RNA structure probing with temporal resolution
GSE163965				geo	Plasmodium falciparum	The RNA Structurome in the Asexual Blood Stages of Malaria Pathogen Plasmodium falciparum
GSE133361				geo	Saccharomyces cerevisiae; Homo sapiens; Dengue virus; Oceano	Determination of isoform-specific RNA structure with nanopore long reads
GSE283188				geo	Nidovirales	RNA genome expansion up to 64 kb in nidoviruses: role of host, genome segmentation, translation elongation and replicase
GSE273118				geo	Clostridioides difficile	A conserved structured non-coding RNA coordinates growth and virulence in Clostridioides difficile. [DMS-MaP]
