gse	year	oa	src	n_runs	probe_hits	signal	doi	title	sample_titles
GSE228168	2024	Y	geo	26	6	STRONG	10.1038/s41467-024-46596-y	Full-length Sequencing of Non-capped RNAs Reveals the Heterogeneity of RNA Processing and Novel Classes of Noncoding RNA	C2C12_D0_NAPseq_nanopore_rep2 | HepG2_NAPseq_SHAPE-MaP_NAI-N3_rep1 | HepG2_CAPseq_rep3 | HepG2_CAPseq_rep2 | C2C12_D144_RNAseq_rep3 | C2C12_D72_RNAseq_rep1 | C2C12_D0_RNAseq_rep1 | HepG2_RNAseq_rep2 | HepG2_RNAseq_rep1 | HepG2_NAPseq_SHAPE-MaP_NAI-N3_rep2 | HepG2_NAPseq_SHAPE-MaP_DMSO_rep3 | HepG2_NAPseq_SHAPE-MaP_DMSO_rep1 | C2C12_D144_RNAseq_rep2 | C2C12_D144_RNAseq_rep1 | C2C12_D96_RNAseq_rep3 | C2C12_D0_RNAseq_rep2 | C2C12_D0_NAPseq_nanopore_rep3 | C2C12_D0_NAPseq_nanopore_rep1 | HepG2_NAPseq_SHAPE-MaP_NAI-N3_rep3 | HepG2_NAPseq_SHAPE-MaP_DMSO_rep2 | HepG2_CAPseq_rep1 | C2C12_D96_RNAseq_re
GSE220470	2024	N	geo	8	8	STRONG	10.1038/s41587-023-01749-0	RIP-PEN-SHAPE-MaP for 15.5K-interacted RNAs	HEK293T_15.5K_RIP_PEN_SHAPE_MaP_NAI_N3_rep2 | HEK293T_15.5K_RIP_PEN_SHAPE_MaP_DMSO_rep2 | HEK293T_15.5K_RIP_PEN_SHAPE_MaP_NAI_N3_rep1 | HEK293T_15.5K_RIP_PEN_SHAPE_MaP_NAI_N3_rep4 | HEK293T_15.5K_RIP_PEN_SHAPE_MaP_DMSO_rep3 | HEK293T_15.5K_RIP_PEN_SHAPE_MaP_DMSO_rep1 | HEK293T_15.5K_RIP_PEN_SHAPE_MaP_DMSO_rep4 | HEK293T_15.5K_RIP_PEN_SHAPE_MaP_NAI_N3_rep3
GSE228970	2024	Y	geo	33	16	STRONG	10.1038/s41467-024-54674-4	Promotion of TLR7-MyD88-dependent Inflammation and Autoimmunity through Stem-loop Changes in Lnc-Atg16l1	RAW_4h-D1 icSHAPE RNA-seq | RAW_0h-D2 icSHAPE RNA-seq | Yaa-N2 icSHAPE RNA-seq | B6-N1 icSHAPE RNA-seq | B6-D2 icSHAPE RNA-seq | B6-D1 icSHAPE RNA-seq | Endosome RNA-seq | TLR7-activated-HA-iCLIP-seq | RAW264.7 cells,Lnc-Atg16l1 kd,4h-2 | RAW264.7 cells,Lnc-Atg16l1 kd,0h-3 | RAW264.7 cells,Lnc-Atg16l1 kd,0h-1 | RAW_4h-N2 icSHAPE RNA-seq | RAW_4h-N1 icSHAPE RNA-seq | RAW_0h-N1 icSHAPE RNA-seq | B6-N2 icSHAPE RNA-seq | TLR7-activated-Myd88-iCLIP-seq | mTLR7-iCLIP-seq | RAW264.7 cells,Lnc-Atg16l1 kd,4h-1 | RAW264.7 cells,WT,4h-2 | RAW264.7 cells,WT,0h-1 | RAW_4h-D2 icSHAPE RNA-seq | RAW_0h-N2 icS
GSE243220	2024	Y	geo+lit	16	16	STRONG	10.1038/s41467-024-45517-3	In-cell structure analysis of antisense Gadd45α SINEB2-a deletion mutants	HEK_icSHAPE_AS_Gadd45a_SINEB2a_del_27-36_NAI_rep2 | HEK_icSHAPE_AS_Gadd45a_SINEB2a_del_40-50_DMSO_rep1 | HEK_icSHAPE_AS_Gadd45a_SINEB2a_del_40-50_NAI_rep1 | HEK_icSHAPE_AS_Gadd45a_SINEB2a_del_66-76_NAI_rep1 | HEK_icSHAPE_AS_Gadd45a_SINEB2a_del_92-101_DMSO_rep1 | HEK_icSHAPE_AS_Gadd45a_SINEB2a_del_92-101_NAI_rep1 | HEK_icSHAPE_AS_Gadd45a_SINEB2a_del_27-36_DMSO_rep2 | HEK_icSHAPE_AS_Gadd45a_SINEB2a_del_40-50_NAI_rep2 | HEK_icSHAPE_AS_Gadd45a_SINEB2a_del_66-76_DMSO_rep1 | HEK_icSHAPE_AS_Gadd45a_SINEB2a_del_66-76_NAI_rep2 | HEK_icSHAPE_AS_Gadd45a_SINEB2a_del_27-36_DMSO_rep1 | HEK_icSHAPE_AS_Gadd45
GSE224534	2024	Y	geo+lit	20	20	STRONG	10.1038/s41467-024-45517-3	In-cell RNA secondary structure analysis of functional SINE transcripts	icSHAPE-SINE NAI Nuc biol rep 1 | icSHAPE-SINE NAI Cyto biol rep 1 | icSHAPE-FRAM Whole Cell NAI-N3 biol rep 1 | icSHAPE-SINEB2 Whole Cell NAI-N3 biol rep 2 | icSHAPE-SINEB2 Whole Cell NAI-N3 biol rep 1 | icSHAPE-SINE NAI Nuc biol rep 2 | icSHAPE-SINE DMSO Cyto biol rep 2 | icSHAPE-SINE NAI Cyto biol rep 2 | icSHAPE-SINEB2 Whole Cell DMSO biol rep 2 | icSHAPE-SINEB2 Whole Cell DMSO biol rep 1 | icSHAPE-SINE DMSO Nuc biol rep 2 | icSHAPE-SINE DMSO Nuc biol rep 1 | icSHAPE-SINE DMSO Cyto biol rep 1 | icSHAPE-FRAM Whole Cell DMSO biol rep 2 | icSHAPE-FRAM Whole Cell DMSO biol rep 1 | icSHAPE-FRAM
GSE219083	2024	N	geo+lit	54	24	STRONG	10.1016/j.molcel.2024.04.015	G-quadruplex folding in Xist RNA antagonizes PRC2 activity for step-wise regulation of X-chromosome inactivation	3rG4 cl5 k27me3 rep2 | WT(3rG4) K27me3 rep2 | 3rG4 cl6 k27me3 rep2 input | DMS seq WT D7 rep2 | DMS seq WT D7 rep1 | DMS seq WT D3 rep2 | DMS seq WT D0 rep2 | DMS seq WT D0 rep2 | DMS seq WT D0 rep2 | DMS seq WT D0 rep1 | DMS seq WT D0 rep1 | 3rG4 cl6 D7_RNA rep2 | 3rG4 cl5 D7 RNA rep2 | WT(3rG4) D7 RNA rep2 | 3rG4 cl6 D7_RNA rep1 | 3rG4_cl5_D7_Xist_CHART rep1 input | 3rG4 cl6 k27me3 rep1 input | 3rG4 cl5 k27me3 rep1 input | WT(3rG4) K27me3 rep1 input | 3rG4 cl6 k27me3 rep1 | 3rG4 cl5 k27me3 rep1 | WT(3rG4) K27me3 rep2 input | DMS seq WT D7 rep2 | DMS seq WT D7 rep2 | DMS seq WT D7 rep2 | DMS 
GSE219079	2024	N	geo+lit	24	24	STRONG	10.1016/j.molcel.2024.04.015	Epigenetic regulation by dynamic RNA G-quadruplex folding and unfolding (DMS-Seq)	DMS seq WT D7 rep2 | DMS seq WT D7 rep2 | DMS seq WT D7 rep2 | DMS seq WT D7 rep1 | DMS seq WT D7 rep1 | DMS seq WT D3 rep2 | DMS seq WT D3 rep2 | DMS seq WT D3 rep1 | DMS seq WT D3 rep1 | DMS seq WT D0 rep2 | DMS seq WT D0 rep1 | DMS seq WT D7 rep2 | DMS seq WT D7 rep1 | DMS seq WT D3 rep2 | DMS seq WT D0 rep2 | DMS seq WT D0 rep2 | DMS seq WT D0 rep2 | DMS seq WT D0 rep1 | DMS seq WT D0 rep1 | DMS seq WT D7 rep1 | DMS seq WT D3 rep2 | DMS seq WT D3 rep1 | DMS seq WT D3 rep1 | DMS seq WT D0 rep1
GSE271825	2024	Y	geo+lit	30	12	STRONG	10.7554/elife.98540	RNA tertiary structure and conformational dynamics revealed by BASH MaP	AKT2, BASH MaP, 170 mM, SSII | pUG, M2 DMS MaP, 170 mM, SSII | Spinach, M2 DMS MaP, 170 mM, SSII | Spinach, M2 DMS MaP, 170 mM, SSII | Spinach, DMS - Reduction + Depurination, 170 mM, SSII | Spinach, BASH MaP, 85 mM, SSII | Spinach, BASH MaP, 170 mM, SSII | Spinach, DMS MaP, 42.5 mM, SSII | pUG, M2 DMS MaP, 170 mM, SSII | Spinach, M2 BASH MaP, 170 mM, SSII | Spinach, + Reduction + Depurination, 0 mM, SSII | Spinach, DMS + Reduction + Depurination, 170 mM, SSII | Spinach, BASH MaP, 10.625 mM, SSII | Spinach, BASH MaP, 21.25 mM, SSII | Spinach, DMS MaP, 10.625 mM, SSII | Spinach, DMS MaP, 85 mM,
GSE254895	2024	Y	geo+lit	33	4	STRONG	10.1261/rna.079974.124	A new reagent for in vivo structure probing of RNA G and U residues that improves RNA structure prediction alone and com	UT_tgirt60_repC | DMS_tgirt55_repB | ETC_tgirt55_repB | ETC_tgirt60_repC | ETC_tgirt60_repB | ETC_tgirt60_repA | UT_tgirt60_repB | UT_tgirt60_repA | DMS_tgirt55_repA | ETC_tgirt55_repC | ETC_tgirt55_repA | UT_tgirt55_repC | ETC_tgirt50_repA | UT_tgirt50_repB | ETC_hivrt | UT_hivrt | UT_ssii | ETC_marathon | UT_marathon | UT_tgirt70 | DMS_tgirt55_repC | UT_tgirt55_repB | UT_tgirt55_repA | ETC_tgirt50_repC | ETC_tgirt50_repB | UT_tgirt50_repC | UT_tgirt50_repA | ETC_ssii | ETC_tgirt70 | DMS_tgirt65 | 1.5XETC_tgirt65 | ETC_tgirt65 | UT_tgirt65
GSE246523	2024	N	lit	4	4	STRONG	10.1126/science.adm9238	The human mitochondrial mRNA structurome reveals mechanisms of gene expression.	mitoDMS WT1 | mitoDMS KO2 | mitoDMS KO1 | mitoDMS WT2
GSE278422	2024	N	lit	15	0	NONE	10.1021/acs.biochem.4c00343	Fingerprinting Tertiary Structure in Complex RNAs Using Single-Molecule Correlated Chemical Probing.	Mut ON 1, modified with SAM ligand | Mut ON 1, unmodified | Native, modified without SAM ligand | Mut OFF 2, modified without SAM ligand | Mut OFF 1, modified without SAM ligand | Mut OFF 1, modified with SAM ligand | Mut ON 2, modified with SAM ligand | Mut ON 2, unmodified | Native, modified with SAM ligand | Mut OFF 2, modified with SAM ligand | Mut OFF 2, unmodified | Mut OFF 1, unmodified | Mut ON 2, modified without SAM ligand | Mut ON 1, modified without SAM ligand | Native, unmodified
GSE227250	2024	Y	lit	4	0	NONE	10.1038/s41467-024-45517-3	Decryption of sequence, structure, and functional features of SINE repeat elements in SINEUP non-coding RNA-mediated post-transcri	Cytoplasmic + Nuclear, IP, rep 1 | Cytoplasmic + Nuclear, input, rep 1 | Cytoplasmic + Nuclear, IP, rep 2 | Cytoplasmic + Nuclear, input, rep 2
GSE224533	2024	Y	lit	4	0	NONE	10.1038/s41467-024-45517-3	Decryption of sequence, structure, and functional features of SINE repeat elements in SINEUP non-coding RNA-mediated post-transcri	PARIS2-SINEUP-GFP_SINEB2 Whole Cell biol rep 2 | PARIS2-SINEUP-GFP_SINEB2 Whole Cell biol rep 1 | PARIS2-FRAM Whole Cell biol rep 2 | PARIS2-FRAM Whole Cell biol rep 1
GSE224018	2024	Y	lit	3	0	NONE	10.1038/s41467-024-45517-3	Decryption of sequence, structure, and functional features of SINE repeat elements in SINEUP non-coding RNA-mediated post-transcri	in cell transcribed SINEUP | in vitro transcribed SINEUP, 0% pseudouridine | in vitro transcribed SINEUP, 20% pseudouridine
GSE219082	2024	N	lit	12	0	NONE	10.1016/j.molcel.2024.04.015	G-quadruplex folding in Xist RNA antagonizes PRC2 activity for stepwise regulation of X chromosome inactivation.	3rG4 cl6 k27me3 rep2 | 3rG4 cl5 k27me3 rep2 input | WT(3rG4) K27me3 rep1 | 3rG4 cl5 k27me3 rep2 | WT(3rG4) K27me3 rep2 | 3rG4 cl6 k27me3 rep2 input | 3rG4 cl6 k27me3 rep1 input | 3rG4 cl5 k27me3 rep1 input | WT(3rG4) K27me3 rep1 input | 3rG4 cl6 k27me3 rep1 | 3rG4 cl5 k27me3 rep1 | WT(3rG4) K27me3 rep2 input
GSE219081	2024	N	lit	6	0	NONE	10.1016/j.molcel.2024.04.015	G-quadruplex folding in Xist RNA antagonizes PRC2 activity for stepwise regulation of X chromosome inactivation.	3rG4 cl5 D7 RNA rep1 | 3rG4 cl6 D7_RNA rep2 | 3rG4 cl5 D7 RNA rep2 | WT(3rG4) D7 RNA rep2 | 3rG4 cl6 D7_RNA rep1 | WT(3rG4) D7 RNA rep1
GSE219080	2024	N	lit	12	0	NONE	10.1016/j.molcel.2024.04.015	G-quadruplex folding in Xist RNA antagonizes PRC2 activity for stepwise regulation of X chromosome inactivation.	3rG4_cl6_D7_Xist_CHART rep2 input | 3rG4_cl6_D7_Xist_CHART rep2 | 3rG4_cl5_D7_Xist_CHART rep2 | WT_D7_Xist_CHART rep2 | 3rG4_cl6_D7_Xist_CHART rep1 | 3rG4_cl5_D7_Xist_CHART rep1 | WT_D7_Xist_CHART rep1 | 3rG4_cl5_D7_Xist_CHART rep2 input | WT_D7_Xist_CHART rep2 input | 3rG4_cl6_D7_Xist_CHART rep1 input | WT_D7_Xist_CHART rep1 input | 3rG4_cl5_D7_Xist_CHART rep1 input
GSE246112	2024	Y	lit	17	0	NONE	10.1038/s41531-023-00620-y	Transcriptomic profiling of early synucleinopathy in rats induced with preformed fibrils.	Female 18 PBS Control | Male 4 PFF treated | Male 1 PFF treated | Female 12 PFF treated | Male 10 PBS Control | Female 14 PFF treated | Male 5 PFF treated | Male 8 PBS Control | Female 22 PBS Control | Female 20 PBS Control | Male 11 PBS Control | Female 13 PFF treated | Female 16 PFF treated | Female 19 PBS Control | Male 3 PFF treated | Male 9 PBS Control | Male 2 PFF treated
GSE264525	2024	Y	lit	24	0	NONE	10.1186/s12974-024-03210-8	Suppression of the JAK/STAT pathway inhibits neuroinflammation in the line 61-PFF mouse model of Parkinson's disease.	PFF_AZD_HTO | PFF_AZD_HTO | PFF-AZD_GEX | PFF-AZD_GEX | PFF-VH_HTO | Monomer_GEX | PBS_GEX | PBS_GEX | PFF_AZD_HTO | PFF-VH_HTO | PFF-VH_HTO | PFF-VH_GEX | PFF-VH_GEX | Monomer_GEX | Monomer_GEX | PBS_GEX | PBS_GEX | PFF_AZD_HTO | PFF-AZD_GEX | PFF-AZD_GEX | PFF-VH_HTO | PFF-VH_GEX | PFF-VH_GEX | Monomer_GEX
GSE255191	2024	N	lit	4	2	STRONG	10.1016/j.molcel.2024.08.032	Alternative translation initiation produces synaptic organizer proteoforms with distinct localization and functions.	Cortical neurons, DMSO CHX | Cortical neurons, DMSO | Cortical neurons, Bicuculline CHX | Cortical neurons, Bicuculline
GSE208197	2023	N	geo	49	0	NONE	10.1038/s41594-023-01035-2	pre-mRNA splicing order is defined and maintains splicing fidelity across multi-intronic transcripts [I]	IVT_IFRD2_del_ex4-10_UT | IVT_IFRD2_del_ex4-10_rep1 | IVT_IFRD2_SE_ex4-10_UT | IVT_IFRD2_SE_ex4-10_rep2 | IVT_IFRD2_SE_ex4-10_rep1 | IVT_IFRD2_WT_ex8-10_UT | IVT_IFRD2_WT_ex8-10_rep2 | HeLa_U2_KD_RNAseq_rep3 | HeLa_control_KD_RNAseq_rep1 | MN_D14_chr_polyA_rep2 | MN_D9_chr_polyA_rep1 | MN_D4_chr_polyA_rep1 | MN_D4_chr_rep1 | MN_D4_chr_rep1 | MN_D0_chr_rep1 | IVT_IFRD2_WT_ex8-10_rep1 | HeLa_U2_KD_NETseq_rep2 | HeLa_control_KD_NETseq_rep1 | HeLa_U2_KD_RNAseq_rep3 | HeLa_U2_KD_RNAseq_rep2 | HeLa_U2_KD_RNAseq_rep1 | HeLa_U2_KD_RNAseq_rep1 | HeLa_control_KD_RNAseq_rep3 | HeLa_control_KD_RNAseq_rep2
GSE191144	2023	N	geo	16	4	STRONG	10.1016/j.chembiol.2023.05.004	Investigating the NRAS 5’ UTR as a Target for Small Molecules	RNA-seq of SK-MEL-2, untreated, Replicate #3 | RNA-seq of SK-MEL-2, untreated, Replicate #1 | RNA-seq of MCF-7, untreated, Replicate #2 | RNA-seq of MCF-7, untreated, Replicate #1 | SHAPE-MaP of NAI-treated NRAS-Luciferase, Replicate #2 | SHAPE-MaP of NAI-treated NRAS-Luciferase, Replicate #1 | SHAPE-MaP of DMSO-treated NRAS-Luciferase, Replicate #2 | RNA-seq of SK-MEL-2, compound 18-treated, Replicate #3 | RNA-seq of SK-MEL-2, untreated, Replicate #2 | RNA-seq of MCF-7, compound 18-treated, Replicate #1 | RNA-seq of MCF-7, untreated, Replicate #3 | SHAPE-MaP of DMSO-treated NRAS-Luciferase, R
GSE226865	2023	Y	geo+lit	12	10	STRONG	10.1073/pnas.2217053120	Structure-first identification of RNA elements that regulate dengue virus genome architecture and replication	DENV2 8500 WT in cell RNA DMSO | DENV2 8500 Lock Mutant in cell RNA SDA | DENV2 8500 WT in cell RNA SDA | DENV4 ex virion RNA DMSO | DENV4 ex virion RNA 1M7 | DENV3 ex virion RNA DMSO | DENV2 ex virion RNA DMSO | DENV2 ex virion RNA 1M7 | DENV1 ex virion RNA 1M7 | DENV2 8500 Lock Mutant in cell RNA DMSO | DENV3 ex virion RNA 1M7 | DENV1 ex virion RNA DMSO
GSE221996	2023	Y	geo	4	0	NONE	10.26508/lsa.202201779	The SHAPE-MaP experiment to identify RNA structures of pri-mir-142 variants	S4a_modified | S1_modified | S4a_untreated | S1_untreated
GSE196625	2023	N	geo	30	24	STRONG	10.1038/s41586-023-05767-5	URB1 ensures 3' end processing of pre-rRNAs to prevent exosome-dependent degradation and is required for development [SH	NAI-SCR_2-F4R4 | NAI-KD4_1-F4R4 | DMSO-SCR-F4R4 | DC-SCR-F4R4 | NAI-KD4_1-F1R1_F3R3 | DMS-SCR_1-F4R4 | DC-KD4-F1R1_F3R3 | DC-SCR-F1R1_F3R3 | NAI-KD4_2-F4R4 | NAI-KD1_2-F4R4 | DMSO-KD4-F4R4 | DC-KD1-F4R4 | NAI-SCR_2-F1R1_F3R3 | DMS-SCR_2-F4R4 | DMS-KD1_1-F4R4 | DMS-KD1_2-F4R4 | DMS-KD4_1-F4R4 | NAI-KD1_1-F1R1_F3R3 | DMSO-KD4-F1R1_F3R3 | DMSO-SCR-F1R1_F3R3 | NAI-SCR_1-F4R4 | NAI-KD1_1-F4R4 | DMSO-KD1-F4R4 | DC-KD4-F4R4 | NAI-KD1_2-F1R1_F3R3 | NAI-KD4_2-F1R1_F3R3 | DMS-KD4_2-F4R4 | NAI-SCR_1-F1R1_F3R3 | DMSO-KD1-F1R1_F3R3 | DC-KD1-F1R1_F3R3
GSE226783	2023	N	geo+lit	18	0	NONE	10.1016/j.cell.2023.05.032	RNA secondary structome of different retrotransposons with DNA/protein binding	5’-RNA_R2 | 5’-RNA_R2_DNA | 3’-RNA | 5’-RNA_R2_DNA | L-RNA_R2_DNA | 3’-RNA_R2_DNA | 3’-RNA_R2 | 5’-RNA | L-RNA | L-RNA | L-RNA_R2 | 5’-RNA | 5’-RNA_R2 | 3’-RNA_R2 | 3’-RNA | 3’-RNA_R2_DNA | L-RNA_R2_DNA | L-RNA_R2
GSE225730	2023	Y	geo	60	60	STRONG	10.1126/sciadv.adh5152	tRNA structure-seq in peptide-rich droplets	T7 E. coli tRNAs control treatment (minus DMS) 30mers / 1:2 / 10 replicate 3 | T7 E. coli tRNAs control treatment (minus DMS) 10mers / 1:2 / 10 replicate 2 | T7 E. coli tRNAs control treatment (minus DMS) 10mers / 1:2 / 10 replicate 1 | T7 E. coli tRNAs DMS treated 30mers / 1:2 / 10 replicate 3 | T7 E. coli tRNAs DMS treated 10mers / 1:2 / 10 replicate 1 | T7 E. coli tRNAs DMS treated 10mers / 1: 1 / 0.5 replicate 1 | NM E. coli tRNAs control treatment (minus DMS) 30mers / 1:2 / 10 replicate 3 | NM E. coli tRNAs DMS treated 30mers / 1:2 / 10 replicate 3 | NM E. coli tRNAs DMS treated 30mers / 
GSE200171	2023	Y	geo	10	0	NONE	10.1016/j.isci.2023.106846	Chemo- versus immuno-precipitation of G-quadruplex-DNA (G4- DNA): a direct comparison of the efficiency of the antibody 	BioTASQ_vivo_rep1 | Vitro_biotin | BioTASQ_vitro_rep1 | BioTASQ_vivo_biotin | BioTASQ_vitro_rep2 | BioCyTASQ_vitro_rep2 | BioTASQ_vivo_rep2 | BioTASQ_vivo_input | Vitro_input | BioCyTASQ_vitro_rep1
GSE233607	2023	Y	geo+lit	9	3	STRONG	10.1093/nar/gkad807	In vivo-like nearest neighbor parameters accurately predict fractional RNA base-pairing in cells	WT, control, rep 3 | WT, EDC, rep 2 | WT, DMS, rep 2 | WT, control, rep 2 | WT, EDC, rep 1 | WT, EDC, rep 3 | WT, DMS, rep 1 | WT, control, rep 1 | WT, DMS, rep 3
GSE235169	2023	Y	lit	296	0	NONE	10.3390/cancers15051582	Discovering Synergistic Compounds with BYL-719 in PI3K Overactivated Basal-like PDXs.	HCI-001-107935 | BCM-3887-107696 | BCM-5097-107931 | BCM-2277-107573 | BCM-2147CR2-107841 | BCM-2147-107848-livermet | BCM-2147-107745-lungmet | BCM-2147-107741-lungmet | BCM-15057EI4-107877 | BCM-2147-107741 | BCM-15057-107968 | BCM-15034TamR3-107924 | WHIM30CR7-107951 | WHIM30CR6-107920 | WHIM30-107662 | UCD52CR-107591 | UCD52CR-107532 | HCI-013-107415 | UCD52CR21-107961 | HCI-013-107939 | HCI-013-107857 | HCI-011-107898 | HCI-001CR7-107994 | HCI-011-107900 | HCI-011-107176 | HCI-013-102249 | HCI-011-107171 | BCM-5097-107567 | HCI-001CR-107553 | BCM-15057-107336 | BCM-15034-107510 | UCD52CR 
GSE235168	2023	Y	lit	220	0	NONE	10.3390/cancers15051582	Discovering Synergistic Compounds with BYL-719 in PI3K Overactivated Basal-like PDXs.	UCD52CR_107269 | UCD52CR_107269 | HCI013-107785 | HCI013-107785 | HCI013-107343 | HCI013-107343 | HCI013-107343 | HCI013-107343 | UCD52CR | UCD52CR | UCD52CR | UCD52CR | UCD52CR | UCD52CR | UCD52_107080-107081 | UCD52_107080-107081 | UCD52_107080-107081 | UCD52_107080-107081 | HCI013_106666-106667 | HCI013_106666-106667 | HCI013_106666-106667 | HCI013_106666-106667 | HCI013_106666-106667 | HCI013_106663 | HCI013_106663 | HCI013_106663 | HCI013_106663 | HCI013_106662 | HCI013_106662 | HCI013_106662 | HCI-011_107409 | HCI-011_107409 | HCI-011_107324 | HCI-011_107322 | HCI-011_107322 | BCM-7821-1
GSE235167	2023	Y	lit	76	0	NONE	10.3390/cancers15051582	Discovering Synergistic Compounds with BYL-719 in PI3K Overactivated Basal-like PDXs.	BCM-5097-107822-lungmet | BCM-2147CR2-107842 | BCM-2147-107745 | BCM-2147-107744-lungmet | BCM-15057EI3-107630 | WHIM30CR7-107949 | BCM-0132-107564 | BCM-15034TamR3-107922 | WHIM30CR7-107950 | WHIM30-107947 | UCD52CR21-107966 | WHIM30-107658 | UCD52-100916 | UCD52-100398 | HCI-013-107858 | UCD52CR21-107964 | UCD52CR21-107967 | HCI-013-107763 | HCI-011-107901 | HCI-001CR7-107993 | HCI-011-107333 | HCI-011-107518 | HCI-011-107170 | BCM-7482-107504 | HCI-001-100097 | BCM-5097-107568 | BCM-2277-107573-lungmet | BCM-5097-107769-lungmet | BCM-15057EI3-107640 | BCM-2147-107744 | BCM-15034-107894 | BC
GSE206308	2023	N	lit	23	0	NONE	10.1007/s00702-023-02604-x	Genes critical for development and differentiation of dopaminergic neurons are downregulated in Parkinson's disease.	Human SNpc, Parkinson's disease, patient [HsRNAPD5SNc_R1.AT.fastq.gz] | Human SNpc, Parkinson's disease, control [HsRNAC1SNc_R1.AT.fastq.gz] | MPTP mouse SNpc, 24 h treatment, treated [SO_5062_Set2_24M3_SNC] | MPTP mouse SNpc, 24 h treatment, treated [SO_5062_Set2_24M1_SNC] | MPTP mouse SNpc, 24 h treatment, control [SO_5062_Set2_24C2_SNC] | MPTP mouse SNpc, 14 days treatment, treated [SO-4248-T1] | MPTP mouse SNpc, 14 days treatment, control [SO-4248-C3] | MPTP mouse SNpc, 14 days treatment, control [SO-4248-C2] | Human SNpc, Parkinson's disease, patient [HsRNAPD2SNc_R1.AT.fastq.gz] | Human S
GSE204861	2023	N	lit	36	0	NONE	10.1093/jas/skac365	Exploring differentially expressed genes in hypothalamic, pars tuberalis and pineal gland transcriptomes in different sexual behav	Pineal Gland, not active, animal 8 [32_PG_NA] | Pineal Gland, not active, animal 7 [31_PG_NA] | Pineal Gland, active, animal 4 [28_PG_A] | Pineal Gland, active, animal 3 [27_PG_A] | Pars Tuberalis, not active, animal 10 [22_PT_NA] | Pars Tuberalis, not active, animal 7 [19_PT_NA] | Pars Tuberalis, active, animal 6 [18_PT_A] | Pars Tuberalis, active, animal 5 [17_PT_A] | Pars Tuberalis, active, animal 2 [14_PT_A] | Hypothalamus, not active, animal 11 [11_HT_NA] | Hypothalamus, not active, animal 10 [10_HT_NA] | Hypothalamus, not active, animal 8 [8_HT_NA] | Hypothalamus, not active, animal 7 [7
GSE210296	2022	Y	geo	8	8	STRONG	10.1126/sciadv.adc9785	High-temperature adaptation of an OsNRT2.3 allele is thermoregulated by small RNAs	Shoot_NoDMS_OsNRT1.1B | Root_1%DMS_OsNRT1.1B | Shoot_NoDMS_OsNRT2.3B | Root_NoDMS_OsNRT2.3A | Shoot_1%DMS_OsNRT2.3B | Root_1%DMS_OsNRT2.3A | Shoot_1%DMS_OsNRT1.1B | Root_NoDMS_OsNRT1.1B
GSE202785	2022	Y	geo	9	0	NONE	10.1093/nar/gkac636	[SHAPE-MaP_10_mM] U1 snRNP regulates recruitment of early spliceosomal components by disrupting SRSF1-pre-mRNA interacti	Ad-DC | Ad-10XSRSF1-U1_Ad | Ad-5XSRSF1-U1_Ad | Ad-5XSRSF1-65-35-U1 | Ad-10XSRSF1-U1_Ad | Ad-5XSRSF1-U1_Ad | Ad-10XSRSF1-65-35-U1_Ad | Ad-10XSRSF1-65-35-U1_Ad | Ad-5XSRSF1-65-35-U1
GSE188649	2022	Y	geo	11	11	STRONG	10.1093/nar/gkac636	[SHAPE-MaP_4_mM] U1 snRNP regulates recruitment of early spliceosomal components by disrupting SRSF1-pre-mRNA interactio	AdML_DMSO_vehicle | AdML_NMIA | AdML_U1 snRNP_DMSO | AdML_U1 snRNP_NMIA | AdML_5X SRSF1+U1 snRNP_NMIA | AdML_2X SRSF1_NMIA | AdML_DC_NMIA | AdML_5X SRSF1_NMIA | AdML_5X SRSF1+U1 snRNP_DMSO | AdML_2X SRSF1_DMSO | AdML_5X SRSF1_DMSO
GSE163112	2022	Y	geo	4	4	STRONG	10.1038/s41467-022-29934-w	Enhancer RNAs make multivalent interactions with NELF to stimulate Pol II pause release [SHAPE]	1M7_modified_Run2 | DMSO_Control_Run1 | 1M7_modified_Run1 | DMSO_Control_Run2
GSE189259	2022	Y	geo+lit	4	4	STRONG	10.1038/s41467-022-29398-y	SHAPE-guided RNA structure homology search and motif discovery	SHAPE-MaP analysis of SARS-CoV-2 (DMSO treatment) | SHAPE-MaP analysis of SARS-CoV (DMSO treatment) | SHAPE-MaP analysis of SARS-CoV (2A3 treatment) | SHAPE-MaP analysis of SARS-CoV-2 (2A3 treatment)
