year_range	doi	pub_year	open_access	pmcid	accession	title
2022-2023	10.1007/978-1-0716-2687-0_11	2023	N			Combining Biophysical Methods for Structure-Function Analyses of RNA in Solution.
2022-2023	10.3390/v14081795	2022	Y	PMC9415818		Computational and Experimental Approaches to Study the RNA Secondary Structures of RNA Viruses.
2022-2023	10.1093/ve/veac051	2022	Y	PMC9272599		Evolutionary traits of Tick-borne encephalitis virus: Pervasive non-coding RNA structure conservation and molecular epidemiology.
2022-2023	10.1007/s13353-022-00730-y	2023	Y	PMC9837009		In silico and in vitro analysis of the impact of single substitutions within EXO-motifs on Hsa-MiR-1246 intercellular transfer in breast cancer cell.
2022-2023	10.1016/j.jmb.2022.167802	2022	N	PMC10084733		The promise of cryo-EM to explore RNA structural dynamics.
2022-2023	10.1016/j.gpb.2022.10.006	2023	Y	PMC10787121		RNA Structural Dynamics Modulate EGFR-TKI Resistance Through Controlling YRDC Translation in NSCLC Cells.
2022-2023	10.3390/v15030722	2023	Y	PMC10057905		Structure-Based Regulatory Role for the 5'UTR of RCNMV RNA2.
2022-2023	10.1261/rna.079129.122	2022	Y	PMC9014876		Vault RNA1-1 riboregulates the autophagic function of p62 by binding to lysine 7 and arginine 21, both of which are critical for p62 oligomerization.
2022-2023	10.1080/21655979.2023.2297320	2024	Y	PMC10761085		Isolation of three different sizes of exosomes in an Asian population with different retinal diseases before and after treatment: preliminary results.
2022-2023	10.1016/j.pneurobio.2023.102477	2023	N			Trigeminal nerve stimulation restores hippocampal dopamine deficiency to promote cognitive recovery in traumatic brain injury.
2022-2023	10.1007/s11262-023-01998-w	2023	N			Complete genome sequence analysis, morphology and structural protein identification of two Bacillus subtilis phages, BSTP4 and BSTP6, which may form a new species in the genus Salasvirus.
2022-2023	10.1007/978-1-0716-1851-6_2	2022	N			Predicting RNA Secondary Structure Using In Vitro and In Vivo Data.
2022-2023	10.1016/j.prp.2023.155013	2024	N			Comprehensive molecular analysis of driver mutations in non-small cell lung carcinomas and its correlation with PD-L1 expression, An Indian perspective.
2022-2023	10.1111/acel.13958	2023	Y	PMC10577548		Inhibition of abnormal C/EBPβ/α-Syn signaling pathway through activation of Nrf2 ameliorates Parkinson's disease-like pathology.
2022-2023	10.1186/s12859-021-04540-7	2022	Y	PMC8812003		RNA secondary structure prediction with convolutional neural networks.
2022-2023	10.1007/s00702-023-02604-x	2023	N			Genes critical for development and differentiation of dopaminergic neurons are downregulated in Parkinson's disease.
2022-2023	10.1016/j.redox.2022.102430	2022	Y	PMC9396399		CircSV2b participates in oxidative stress regulation through miR-5107-5p-Foxk1-Akt1 axis in Parkinson's disease.
2022-2023	10.1002/wrna.1714	2022	Y	PMC9539567		Deep structural insights into RNA-binding disordered protein regions.
2022-2023	10.1261/rna.079678.123	2023	Y	PMC10573300		Structure and ion-dependent folding of k-junctions.
2022-2023	10.1097/icb.0000000000001153	2023	N			RARE CASE OF ABIOTROPHIA DEFECTIVA BLEB-ASSOCIATED ENDOPHTHALMITIS.
2022-2023	10.3390/ijms231911050	2022	Y	PMC9570297		Variant-Specific Analysis Reveals a Novel Long-Range RNA-RNA Interaction in SARS-CoV-2 Orf1a.
2022-2023	10.1002/2211-5463.13400	2022	Y	PMC9157412		Picornavirus translation strategies.
2022-2023	10.3390/life12020203	2022	Y	PMC8880406		Promising Assays for Examining a Putative Role of Ribosomal Heterogeneity in COVID-19 Susceptibility and Severity.
2022-2023	10.1016/j.jchemneu.2023.102236	2023	N			Non-coding RNAs as key players in the neurodegenerative diseases: Multi-platform strategies and approaches for exploring the Genome's dark matter.
2022-2023	10.3390/v14122615	2022	Y	PMC9780821		Novel 3' Proximal Replication Elements in Umbravirus Genomes.
2022-2023	10.1093/jxb/erac322	2023	N			Keeping up with the miRNAs: current paradigms of the biogenesis pathway.
2022-2023	10.1093/bib/bbab540	2022	Y	PMC8790951		Protein-RNA interaction prediction with deep learning: structure matters.
2022-2023	10.1073/pnas.2213117119	2022	Y	PMC9860313		Discovery of small molecules that target a tertiary-structured RNA.
2022-2023	10.3389/fmicb.2022.866187	2022	Y	PMC8971849		Refining Mitochondrial Intron Classification With ERPIN: Identification Based on Conservation of Sequence Plus Secondary Structure Motifs.
2022-2023	10.1016/j.jmb.2022.167585	2022	N	PMC9474592		Regulation of Gene Expression Through Effector-dependent Conformational Switching by Cobalamin Riboswitches.
2022-2023	10.1007/978-1-0716-2380-0_17	2022	N			Large-Scale Analysis of RNA-Protein Interactions for Functional RNA Motif Discovery Using FOREST.
2022-2023	10.3390/v14092007	2022	Y	PMC9503155		Cell Compartment-Specific Folding of Ty1 Long Terminal Repeat Retrotransposon RNA Genome.
2022-2023	10.3390/ijms232012503	2022	Y	PMC9603980		Different RNA Elements Control Viral Protein Synthesis in Polerovirus Isolates Evolved in Separate Geographical Regions.
2022-2023	10.1016/j.jmb.2023.168259	2023	N	PMC10543557		An Evolutionarily Conserved Strategy for Ribosome Binding and Host Translation Inhibition by β-coronavirus Non-structural Protein 1.
2022-2023	10.3390/biom13050866	2023	Y	PMC10216711		Emerging Quantitative Biochemical, Structural, and Biophysical Methods for Studying Ribosome and Protein-RNA Complex Assembly.
2022-2023	10.1007/978-1-0716-2413-5_16	2022	N	PMC9426256		Toeprint Assays for Detecting RNA Structure and Protein-RNA Interactions.
2022-2023	10.1016/j.jmb.2023.168070	2023	N	PMC10152882		Context-dependence of T-loop Mediated Long-range RNA Tertiary Interactions.
2022-2023	10.1021/acs.accounts.3c00471	2023	Y	PMC10666283		Chemical Expansion of the Methyltransferase Reaction: Tools for DNA Labeling and Epigenome Analysis.
2022-2023	10.1080/14712598.2022.2121646	2022	N			Advancements in ocular gene therapy delivery: vectors and subretinal, intravitreal, and suprachoroidal techniques.
2022-2023	10.1093/jas/skac365	2023	N	PMC9833037		Exploring differentially expressed genes in hypothalamic, pars tuberalis and pineal gland transcriptomes in different sexual behavior phenotypes in rams using RNA-Seq.
2022-2023	10.3390/v15040971	2023	Y	PMC10141212		Conserved Sequences in the 5' and 3' Untranslated Regions of Jingmenvirus Group Representatives.
2022-2023	10.1128/jvi.01736-21	2022	N	PMC9006961		Identification of Novel 5' and 3' Translation Enhancers in Umbravirus-Like Coat Protein-Deficient RNA Replicons.
2022-2023	10.1016/j.celrep.2021.110208	2022	Y	PMC8844886	GSE116470	Subcellular and regional localization of mRNA translation in midbrain dopamine neurons.
2022-2023	10.3389/fopht.2023.1116838	2023	Y	PMC10327885		miR-92a and integrin expression in fibrovascular membranes in proliferative diabetic retinopathy.
2022-2023	10.1080/15476286.2023.2247247	2023	Y	PMC10478742		Shortened CRISPR-Cas9 arrays enable multiplexed gene targeting in bacteria from a smaller DNA footprint.
2022-2023	10.3390/ijms23179709	2022	Y	PMC9456389		Structural Characteristics of the 5'-Terminal Region of Mouse p53 mRNA and Identification of Proteins That Bind to This mRNA Region.
2022-2023	10.3390/biomedicines11092483	2023	Y	PMC10526147		Purified Serum IgG from a Patient with Anti-IgLON5 Antibody Cause Long-Term Movement Disorders with Impaired Dopaminergic Pathways in Mice.
2022-2023	10.3390/v14020322	2022	Y	PMC8878378		Secondary Structure of Subgenomic RNA M of SARS-CoV-2.
2022-2023	10.1016/j.curtheres.2023.100718	2023	Y	PMC10630595		Evaluation of Rosuvastatin Therapy on <i>SIRT1</i> Gene Expression in Patients with Multiple Sclerosis: An Uncontrolled Clinical Trial.
2022-2023	10.1261/rna.078967.121	2022	Y	PMC8925976		T-hairpin structure found in the RNA element involved in piRNA biogenesis.
2022-2023	10.1016/j.molcel.2022.09.036	2022	Y	PMC9636002	SRP033205	Alternative cleavage and polyadenylation generates downstream uncapped RNA isoforms with translation potential.
2022-2023	10.3389/fcell.2022.1078927	2022	Y	PMC9768605	GSE171581	A region-dependent allele-biased expression of Dopa decarboxylase in mouse brain.
2022-2023	10.1128/jb.00613-21	2022	N	PMC8923229		Expression of the DeaD RNA Helicase Is Regulated at Multiple Levels through Its Long mRNA 5' Untranslated Region.
2022-2023	10.1515/tnsci-2022-0237	2022	Y	PMC9438968	PRJNA756542	Single-cell analysis of gene expression in the substantia nigra pars compacta of a pesticide-induced mouse model of Parkinson's disease.
2022-2023	10.1016/j.compbiomed.2023.106801	2023	N			Single-cell transcriptomics reveals the interaction between peripheral CD4<sup>+</sup> CTLs and mesencephalic endothelial cells mediated by IFNG in Parkinson's disease.
2022-2023	10.3389/fmolb.2022.871499	2022	Y	PMC9061996		Targeting the N-Terminus Domain of the Coronavirus Nucleocapsid Protein Induces Abnormal Oligomerization via Allosteric Modulation.
2022-2023	10.1080/15476286.2022.2092351	2022	Y	PMC9584556		Evidence for selection on SARS-CoV-2 RNA translation revealed by the evolutionary dynamics of mutations in UTRs and CDSs.
2022-2023	10.1073/pnas.2212196119	2022	Y	PMC9546618		Discovery of prolactin-like in lamprey: Role in osmoregulation and new insight into the evolution of the growth hormone/prolactin family.
2022-2023	10.1523/jneurosci.0930-22.2023	2023	Y	PMC10573758		Contributions of the Sodium Leak Channel NALCN to Pacemaking of Medial Ventral Tegmental Area and Substantia Nigra Dopaminergic Neurons.
2022-2023	10.1016/j.jchemneu.2022.102191	2023	N			Amino acid transporter Asc-1 (SLC7A10) expression is altered in basal ganglia in experimental Parkinsonism and L-dopa-induced dyskinesia model mice.
2022-2023	10.1002/jnr.25094	2022	N			Novel insights into the role of circular RNAs in Parkinson disease: An emerging renaissance in the management of neurodegenerative diseases.
2022-2023	10.3390/ijms23179739	2022	Y	PMC9456372		Post-COVID-19 Parkinsonism and Parkinson's Disease Pathogenesis: The Exosomal Cargo Hypothesis.
2022-2023	10.1097/qai.0000000000003171	2023	Y	PMC10069752		Tenofovir Concentration Is Not Enough in Intraocular Tissues of Patients With HIV infection.
2022-2023	10.1177/11769343221103887	2022	Y	PMC9185011		Investigating the Genomic Background of CRISPR-Cas Genomes for CRISPR-Based Antimicrobials.
2022-2023	10.1080/15548627.2023.2196889	2023	N	PMC10392753		<i>CircEPS15</i>, as a sponge of <i>MIR24-3p</i> ameliorates neuronal damage in Parkinson disease through boosting PINK1-PRKN-mediated mitophagy.
2022-2023	10.1523/eneuro.0393-21.2021	2022	Y	PMC8805200		Mechanism of miR-132-3p Promoting Neuroinflammation and Dopaminergic Neurodegeneration in Parkinson's Disease.
2022-2023	10.1016/j.jhazmat.2022.128459	2022	N			Brain single-nucleus transcriptomics highlights that polystyrene nanoplastics potentially induce Parkinson's disease-like neurodegeneration by causing energy metabolism disorders in mice.
2022-2023	10.1007/s00702-023-02687-6	2024	Y	PMC11192832		A sporadic Parkinson's disease model via silencing of the ubiquitin-proteasome/E3 ligase component, SKP1A.
2022-2023	10.1002/jcp.30807	2022	N			Favorable effect of rivaroxaban against vascular dysfunction in diabetic mice by inhibiting NLRP3 inflammasome activation.
2022-2023	10.1182/bloodadvances.2022007444	2022	Y	PMC9023084		Platelet activation by SARS-CoV-2 implicates the release of active tissue factor by infected cells.
2023-2024	10.1002/cpz1.70038	2024	N			DMS-MapSeq Analysis of Antisense Oligonucleotide Binding to lncRNA PANDA.
2023-2024	10.1261/rna.079926.123	2024	Y	PMC11648929	GSE274121	Template switching enables chemical probing of native RNA structures.
2023-2024	10.1016/j.molcel.2024.02.005	2024	N			Structural atlas of human primary microRNAs generated by SHAPE-MaP.
2023-2024	10.1038/s41592-024-02335-1	2024	Y	PMC11399106	GSE266070	A systematic search for RNA structural switches across the human transcriptome.
2023-2024	10.1007/978-1-0716-3519-3_4	2024	N			RNA Secondary Structure Modeling Following the IPANEMAP Workflow.
2023-2024	10.1093/nargab/lqae143	2024	Y	PMC11500451	PRJNA1122119	Intronic RNA secondary structural information captured for the human <i>MYC</i> pre-mRNA.
2023-2024	10.3390/microorganisms12091794	2024	Y	PMC11434300		Chikungunya Virus RNA Secondary Structures Impact Defective Viral Genome Production.
2023-2024	10.1038/s41596-024-00959-3	2024	N			Isoform-specific RNA structure determination using Nano-DMS-MaP.
2023-2024	10.1007/978-1-0716-3918-4_20	2024	N			RNA Folding, Mutation, and Detection.
2023-2024	10.1007/s44307-024-00010-2	2024	Y	PMC11740852		RNA structure: implications in viral infections and neurodegenerative diseases.
2023-2024	10.1016/j.celrep.2024.114544	2024	N			Hfq mediates transcriptome-wide RNA structurome reprogramming under virulence-inducing conditions in a phytopathogen.
2023-2024	10.1093/nar/gkae220	2024	Y	PMC11194067	PRJNA1048882	The RNA secondary structure of androgen receptor-FL and V7 transcripts reveals novel regulatory regions.
2023-2024	10.1016/j.antiviral.2024.105946	2024	N			Targeting sgRNA N secondary structure as a way of inhibiting SARS-CoV-2 replication.
2023-2024	10.1261/rna.079974.124	2024	Y	PMC11182018		A new reagent for in vivo structure probing of RNA G and U residues that improves RNA structure prediction alone and combined with DMS.
2023-2024	10.1073/pnas.2403063121	2024	Y	PMC11228461		An RNA pseudoknot mediates toxin translation and antitoxin inhibition.
2023-2024	10.1093/nar/gkae404	2024	Y	PMC11317150	PRJEB71404	Recruitment of multi-segment genomic RNAs by Bluetongue virus requires a preformed RNA network.
2023-2024	10.1371/journal.pgen.1011100	2024	Y	PMC11421799	GSE243809	RluA is the major mRNA pseudouridine synthase in Escherichia coli.
2023-2024	10.1126/science.adm9238	2024	N	PMC11510358		The human mitochondrial mRNA structurome reveals mechanisms of gene expression.
2023-2024	10.1128/mbio.02621-23	2024	Y	PMC10865803		Specific RNA structures in the 5' untranslated region of the human cytomegalovirus major immediate early transcript are critical for efficient virus replication.
2023-2024	10.1021/acschembio.4c00538	2024	N	PMC11683664		Disulfide Tethering to Map Small Molecule Binding Sites Transcriptome-wide.
2023-2024	10.1089/cmb.2024.0519	2024	N			Phylogenetic and Chemical Probing Information as Soft Constraints in RNA Secondary Structure Prediction.
2023-2024	10.1093/nar/gkae348	2024	Y	PMC11223795		SHAPEwarp-web: sequence-agnostic search for structurally homologous RNA regions across databases of chemical probing data.
2023-2024	10.1016/j.xpro.2024.103471	2024	Y	PMC11656088	GSE219083	Protocol for mapping RNA G-quadruplex for chromatin-bound RNA using d-rG4-seq.
2023-2024	10.3390/v16030421	2024	Y	PMC10974462		Structural Impact of the Interaction of the Influenza A Virus Nucleoprotein with Genomic RNA Segments.
2023-2024	10.1261/rna.079767.123	2024	Y	PMC11251524		Magnesium ions mitigate metastable states in the regulatory landscape of mRNA elements.
2023-2024	10.7554/elife.98540	2024	Y	PMC11614387	GSE271825	RNA tertiary structure and conformational dynamics revealed by BASH MaP.
2023-2024	10.1186/s13059-024-03186-x	2024	Y	PMC10885604	PRJNA1049869	Structured 3' UTRs destabilize mRNAs in plants.
2023-2024	10.1016/j.jbc.2024.107317	2024	Y	PMC11145556		Probing RNA structure and dynamics using nanopore and next generation sequencing.
2023-2024	10.1016/j.sbi.2024.102877	2024	N	PMC11392614		Visualizing RNA structure ensembles by single-molecule correlated chemical probing.
2023-2024	10.1261/rna.079837.123	2024	Y	PMC11251518		A novel reporter for helicase activity in translation uncovers DDX3X interactions.
2023-2024	10.1093/nar/gkad1159	2024	Y	PMC10810284	PRJNA1004643	Visualizing a two-state conformational ensemble in stem-loop 3 of the transcriptional regulator 7SK RNA.
2023-2024	10.3390/v16060861	2024	Y	PMC11209300		A 44-Nucleotide Region in the Chikungunya Virus 3' UTR Dictates Viral Fitness in Disparate Host Cells.
2023-2024	10.1007/978-1-0716-4027-2_7	2024	N			Structural Analysis of the Hepatitis B Virus RNA Encapsidation Signal ε by Selective 2'-Hydroxyl Acylation Analyzed by Primer Extension (SHAPE).
2023-2024	10.1016/j.sbi.2024.102933	2024	N			The role of RNA structure in 3' end processing in eukaryotes.
2023-2024	10.1016/j.sbi.2024.102908	2024	N			Structural and biophysical dissection of RNA conformational ensembles.
2023-2024	10.1038/s41592-023-02128-y	2024	Y	PMC10927541	PRJNA946372	RNA structure profiling at single-cell resolution reveals new determinants of cell identity.
2023-2024	10.1038/s41598-024-75208-4	2024	Y	PMC11535051		KRAS G12C mutation in NSCLC in a small genetic center: insights into sotorasib therapy response potential.
2023-2024	10.1007/s13205-024-04057-9	2024	N	PMC11344749		Computational exploration of protein structure dynamics and RNA structural consequences of &lt;i&gt;PKD1&lt;/i&gt; missense variants: implications in ADPKD pathogenesis.
2023-2024	10.1093/nar/gkae356	2024	Y	PMC11223799		SimRNAweb v2.0: a web server for RNA folding simulations and 3D structure modeling, with optional restraints and enhanced analysis of folding trajectories.
2023-2024	10.1111/febs.17368	2025	N			A guide to RNA structure analysis and RNA-targeting methods.
2023-2024	10.1186/s12859-024-05704-x	2024	Y	PMC11264973	GSE145805	AStruct: detection of allele-specific RNA secondary structure in structuromic probing data.
2023-2024	10.3390/ncrna10060055	2024	Y	PMC11587127		Comparison of Three Computational Tools for the Prediction of RNA Tertiary Structures.
2023-2024	10.4310/cis.241021213225	2024	N	PMC11545564		smFRET-assisted RNA structure prediction.
2023-2024	10.1371/journal.pbio.3002948	2024	Y	PMC11706538	GSE165672	The conserved noncoding RNA ModT coordinates growth and virulence in Clostridioides difficile.
2023-2024	10.1371/journal.pone.0297105	2024	Y	PMC10868834		De novo prediction of RNA 3D structures with deep generative models.
2023-2024	10.1021/acs.biochem.4c00343	2024	N	PMC11489888		Fingerprinting Tertiary Structure in Complex RNAs Using Single-Molecule Correlated Chemical Probing.
2023-2024	10.3390/molecules29245978	2024	Y	PMC11676819		RNA Stability: A Review of the Role of Structural Features and Environmental Conditions.
2023-2024	10.1002/anie.202417370	2025	Y	PMC11773311		Selective Nonenzymatic Formation of Biologically Common RNA Hairpins.
2023-2024	10.1093/nar/gkae089	2024	Y	PMC10954457	GSE182552	RNAvigate: efficient exploration of RNA chemical probing datasets.
2023-2024	10.1261/rna.080013.124	2024	Y	PMC11331406		Modeling the structure and DAP5-binding site of the FGF-9 5'-UTR RNA utilized in cap-independent translation.
2023-2024	10.3390/ijms26010110	2024	Y	PMC11719923		RNA Structure: Past, Future, and Gene Therapy Applications.
2023-2024	10.1093/nar/gkae289	2024	N			Towards parsimonious generative modeling of RNA families.
2023-2024	10.1002/wrna.1869	2024	N			Synthetic antibodies for accelerated RNA crystallography.
2023-2024	10.3390/ijms26010236	2024	Y	PMC11720287		Localization of Melanocortin 1 Receptor in the Substantia Nigra.
2023-2024	10.1093/nar/gkae185	2024	Y	PMC11162794	GSE223117	Conserved intronic secondary structures with concealed branch sites regulate alternative splicing of poison exons.
2023-2024	10.1016/j.omtn.2024.102278	2024	Y	PMC11364014		Evaluation of the effect of RNA secondary structure on Cas13d-mediated target RNA cleavage.
2023-2024	10.1038/s41467-024-52235-3	2024	Y	PMC11408619	PRJNA1077397	Mechanistic analysis of Riboswitch Ligand interactions provides insights into pharmacological control over gene expression.
2023-2024	10.1093/nar/gkad1120	2024	Y	PMC10810187		Co-transcriptional folding of the glmS ribozyme enables a rapid response to metabolite.
2023-2024	10.1007/978-1-0716-3565-0_7	2024	N			Investigation of sRNA-mRNA Interactions in Bacillus subtilis In Vivo.
2023-2024	10.1080/15257770.2024.2421307	2025	N			Catalytic cleavage of an RNA substrate that bypasses the reorganization of its secondary structure during substrate recognition by a &lt;i&gt;trans&lt;/i&gt;-acting VS ribozyme.
2023-2024	10.1038/s41467-024-45517-3	2024	Y	PMC10881587	GSE146407	Decryption of sequence, structure, and functional features of SINE repeat elements in SINEUP non-coding RNA-mediated post-transcriptional gene regulation.
2023-2024	10.3389/fimmu.2024.1414121	2024	Y	PMC11550977	GSE149614	Single-cell and bulk transcriptomic datasets enable the development of prognostic models based on dynamic changes in the tumor immune microenvironment in patients with hepatocellular carcinoma and portal vein tumor thrombus.
2023-2024	10.1042/bsr20240139	2024	Y	PMC11499389		The role of structure in regulatory RNA elements.
2023-2024	10.1093/nar/gkae144	2024	Y	PMC11014237		Conserved structures and dynamics in 5'-proximal regions of Betacoronavirus RNA genomes.
2023-2024	10.1002/marc.202400606	2024	Y	PMC11661666		Atomistic Simulations Reveal Crucial Role of Metal Ions for Ligand Binding in Guanidine-I Riboswitch.
2023-2024	10.1093/narmme/ugae002	2024	Y	PMC10840451		A compact regulatory RNA element in mouse Hsp70 mRNA.
2023-2024	10.1134/s0006297924120137	2024	N			Role of Non-Canonical Stacking Interactions of Heterocyclic RNA Bases in Ribosome Function.
2023-2024	10.1007/s00277-024-05698-9	2024	N			Analysis of mutation profiles in extranodal NK/T-cell lymphoma: clinical and prognostic correlations.
2023-2024	10.1261/rna.079713.123	2024	Y	PMC10870365		Dissection of protein and RNA regions required for SPEN binding to XIST A-repeat RNA.
2023-2024	10.1016/j.jbc.2024.108015	2025	Y	PMC11728972		mRNA vaccine sequence and structure design and optimization: Advances and challenges.
2023-2024	10.1093/narmme/ugae024	2024	Y	PMC11667243		Triplex H-DNA structure: the long and winding road from the discovery to its role in human disease.
2023-2024	10.3390/ijms251910682	2024	Y	PMC11477058		Riboswitch Mechanisms for Regulation of P1 Helix Stability.
2023-2024	10.1042/bst20231304	2024	Y	PMC11555692		Phase separation and viral factories: unveiling the physical processes supporting RNA packaging in dsRNA viruses.
2023-2024	10.1128/jvi.01160-24	2024	N	PMC11494990		Translation of HIV-1 unspliced RNA is regulated by 5' untranslated region structure.
2023-2024	10.1261/rna.079977.124	2024	Y	PMC11019749		Structural and functional effects of inosine modification in mRNA.
2023-2024	10.1016/j.molcel.2024.10.015	2024	N			A functional connection between the Microprocessor and a variant NEXT complex.
2023-2024	10.3389/fimmu.2024.1247382	2024	Y	PMC10853448	GSE22459	Integrated analysis reveals crosstalk between pyroptosis and immune regulation in renal fibrosis.
2023-2024	10.1093/nar/gkae349	2024	Y	PMC11194097		Structure of an internal loop motif with three consecutive U•U mismatches from stem-loop 1 in the 3'-UTR of the SARS-CoV-2 genomic RNA.
2023-2024	10.1016/j.jmb.2024.168767	2024	N	PMC11563921		Structure of Essential RNA Regulatory Elements in the West Nile Virus 3'-Terminal Stem Loop.
2023-2024	10.1093/nar/gkad1034	2024	Y	PMC10783525	GSE230495	An intronic RNA element modulates Factor VIII exon-16 splicing.
2023-2024	10.1016/j.jbc.2024.107547	2024	Y	PMC11342760		RNA thermometers are widespread upstream of ABC transporter genes in bacteria.
2023-2024	10.1002/advs.202307541	2024	Y	PMC11095206		ACE mRNA (Additional Chimeric Element incorporated IVT mRNA) for Enhancing Protein Expression by Modulating Immunogenicity.
2023-2024	10.1016/j.bpc.2024.107307	2024	N			Introns with branchpoint-distant 3' splice sites: Splicing mechanism and regulatory roles.
2023-2024	10.3390/v16091506	2024	Y	PMC11437399		Putting a Kink in HIV-1 Particle Infectivity: Rocaglamide Inhibits HIV-1 Replication by Altering Gag-Genomic RNA Interaction.
2023-2024	10.1128/spectrum.00450-24	2024	Y	PMC11218506		Characterization of the dual regulation by a c-di-GMP riboswitch Bc1 with a long expression platform from &lt;i&gt;Bacillus thuringiensis&lt;/i&gt;.
2023-2024	10.1016/j.jmb.2024.168833	2024	N			Cryo-EM Structure of raiA ncRNA From Clostridium Reveals a New RNA 3D Fold.
2023-2024	10.1016/j.jbc.2024.107318	2024	Y	PMC11143913		The discovery of a catalytic RNA within RNase P and its legacy.
2023-2024	10.1016/j.mad.2024.111942	2024	N			Understanding the (epi)genetic dysregulation in Parkinson's disease through an integrative brain competitive endogenous RNA network.
2023-2024	10.1007/s10753-024-02125-z	2025	N			MicroRNAs Modulating Neuroinflammation in Parkinson's disease.
2023-2024	10.1073/pnas.2312080121	2024	Y	PMC11260092	GSE228446	The West Nile virus genome harbors essential riboregulatory elements with conserved and host-specific functional roles.
2023-2024	10.1080/17460441.2024.2313455	2024	N			Recent applications of artificial intelligence in RNA-targeted small molecule drug discovery.
2023-2024	10.1016/j.jmb.2024.168552	2024	N	PMC11377173		RNA3DB: A structurally-dissimilar dataset split for training and benchmarking deep learning models for RNA structure prediction.
2023-2024	10.1016/j.molcel.2024.07.034	2024	N			Rho-dependent transcriptional switches regulate the bacterial response to cold shock.
2023-2024	10.7554/elife.90948	2024	Y	PMC11161173	PRJNA995387	Enhancing CRISPR prime editing by reducing misfolded pegRNA interactions.
2023-2024	10.1093/bfgp/elac050	2024	N	PMC10799312		Experimental and computational methods for studying the dynamics of RNA-RNA interactions in SARS-COV2 genomes.
2023-2024	10.1007/978-1-0716-3565-0_20	2024	N			sRNA Structural Modeling Based on NMR Data.
2023-2024	10.3389/fmicb.2024.1362067	2024	Y	PMC10926079	PRJNA714002	Probing RNA structural landscapes across <i>Candida</i> yeast genomes.
2023-2024	10.1097/qai.0000000000003426	2024	N			The Association of Intraocular Efavirenz Concentrations and HIV-1 Viral Load Among Persons With HIV.
2023-2024	10.1261/rna.079796.123	2024	Y	PMC11098461		High-resolution RNA tertiary structures in Zika virus stem-loop A for the development of inhibitory small molecules.
2023-2024	10.1261/rna.079768.123	2024	Y	PMC10870377		Diversity and modularity of tyrosine-accepting tRNA-like structures.
2023-2024	10.1016/j.celrep.2024.114485	2024	N			A type III-Dv CRISPR-Cas system is controlled by the transcription factor RpaB and interacts with the DEAD-box RNA helicase CrhR.
2023-2024	10.3855/jidc.20136	2024	N			Complete Genome Sequencing, Annotation, and Mutational Profiling of the Novel Clade I Human Mpox Virus, Kamituga Strain.
2023-2024	10.1016/j.neuropharm.2024.110227	2025	N	PMC12641275		Effects of genetic knockdown of the serotonin transporter on established L-DOPA-induced dyskinesia and gene expression in hemiparkinsonian rats.
2023-2024	10.1016/j.molcel.2024.04.015	2024	N	PMC11505738		G-quadruplex folding in Xist RNA antagonizes PRC2 activity for stepwise regulation of X chromosome inactivation.
2023-2024	10.1007/s11033-024-09587-2	2024	N			Orexin B protects dopaminergic neurons from 1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine-induced neurotoxicity associated with reduced extracellular signal-regulated kinase phosphorylation.
2023-2024	10.1007/s12035-024-04261-x	2025	N			Mechanistic Evaluation of miRNAs and Their Targeted Genes in the Pathogenesis and Therapeutics of Parkinson's Disease.
2023-2024	10.1007/978-1-0716-3519-3_15	2024	N			The Multiscale Ernwin/SPQR RNA Structure Prediction Pipeline.
2023-2024	10.3390/genes15020176	2024	Y	PMC10887915		Research Progress of Group II Intron Splicing Factors in Land Plant Mitochondria.
2023-2024	10.1073/pnas.2320493121	2024	Y	PMC10927501	PRJNA1039878	Tertiary folds of the SL5 RNA from the 5' proximal region of SARS-CoV-2 and related coronaviruses.
2023-2024	10.3390/microorganisms12020239	2024	Y	PMC10893285		Untranslated Regions of a Segmented Kindia Tick Virus Genome Are Highly Conserved and Contain Multiple Regulatory Elements for Viral Replication.
2023-2024	10.1038/s41531-024-00715-0	2024	Y	PMC11102563	PRJNA1054046	Upregulated ECM genes and increased synaptic activity in Parkinson's human DA neurons with PINK1/ PRKN mutations.
2023-2024	10.3390/v16020205	2024	Y	PMC10893052		Translational Control of Alphavirus-Host Interactions: Implications in Viral Evolution, Tropism and Antiviral Response.
2023-2024	10.1016/j.jbc.2024.105730	2024	Y	PMC10907184		Flipping the script: Understanding riboswitches from an alternative perspective.
2023-2024	10.1161/atvbaha.123.320157	2024	N			TF-FVIIa PAR2-β-Arrestin Signaling Sustains Organ Dysfunction in Coxsackievirus B3 Infection of Mice.
2023-2024	10.1093/brain/awad260	2024	N			Aggregation and beyond: alpha-synuclein-based biomarkers in synucleinopathies.
2023-2024	10.1016/j.ajhg.2024.08.016	2024	N	PMC11480803		Alu insertion-mediated dsRNA structure formation with pre-existing Alu elements as a disease-causing mechanism.
2023-2024	10.1038/s41531-023-00620-y	2024	Y	PMC10764951	GSE246112	Transcriptomic profiling of early synucleinopathy in rats induced with preformed fibrils.
2023-2024	10.1186/s12974-024-03210-8	2024	Y	PMC11368013	GSE264525	Suppression of the JAK/STAT pathway inhibits neuroinflammation in the line 61-PFF mouse model of Parkinson's disease.
